Salutation,First name,Last name,Name,Phone,Email,Language,Project
Herr,Severin,Schulte,Severin Schulte,+41698754012,severin.schulte@bluewin.ch,DE,B
Frau,Simon,Dietrich,Simon Dietrich,+41723049587,simon.dietrich@hotmail.ch,DE,A
Herr,Simon,Ziegler,Simon Ziegler,+41459786320,sziegler@gmail.com,DE,A
Herr,Stefan,Kuhn,Stefan Kuhn,+41687409536,stefan.huhn@hotmail.ch,DE,B
Herr,Stephan,Pohl,Stephan Pohl,+41714509238,st-fohl@bluewin.ch,DE,B
Frau,Stephanie,Engel,Stephanie Engel,+41428756309,stephanieengel@gmail.com,DE,B
Herr,Thomas,Horn,Thomas Horn,+41656098732,gashorn@bluewin.ch,DE,C
Herr,Tim Bertel,Busch,Tim Bertel Busch,+41780923456,tim.busch@gmail.com,DE,A
Herr,Tim,Bergmann,Tim Bergmann,+41467239801,timbergmann@bluewin.ch,DE,B
Frau,Tina,Thomas,Tina Thomas,+41769082754,tinathomas@bluewin.ch,DE,B
Herr,Urs,Voigt,Urs Voigt,+41435678901,voigturs@gmail.com,DE,B
Herr,Vitus,Sauer,Vitus Sauer,+41659871234,vitus.sauer@bluewin.ch,DE,C
Herr,Walter,Arnold,Walter Arnold,+41724309876,walter.arnold@gmail.com,DE,B
Herr,Yoann,Wolff,Yoann Wolff,+41469852107,yoann.wolff@gmail.com,DE,B
